JobNumber,sigP,epsiP,sigO,epsiO,a,b,c,alpha,beta,gamma,density,Cleav,Interface,Solvation
1,3.8,0.2,3,0.07,26.46819,26.445006,26.605226,90,90,120.02901,3.724957,717.563104,-134.010375,-791.334565
2,3.8,0.2,3,0.09,26.606007,26.595451,26.8187,90,90,120.01313,3.654785,677.204682,-149.075536,-780.720509
3,3.8,0.2,3,0.11,26.728111,26.708908,26.99778,90,90,120.023784,3.598991,703.345291,-139.328142,-775.963875
4,3.8,0.2,3,0.13,26.824392,26.803003,27.152298,90,90,120.026414,3.553242,715.703548,-190.482904,-770.259506
5,3.8,0.2,3,0.15,26.907255,26.885322,27.290024,90,90,120.026984,3.513652,735.033592,-182.317481,-763.659333
6,3.8,0.2,3,0.17,26.966166,26.965331,27.411148,90,90,120.001021,3.479216,747.421856,-186.041993,-756.557561
7,3.8,0.2,3.1,0.07,26.710648,26.716832,26.960281,90,90,119.992337,3.604141,697.118325,-158.660903,-773.389406
8,3.8,0.2,3.1,0.09,26.871163,26.863461,27.198307,90,90,120.009484,3.532485,707.094713,-162.170962,-753.178069
9,3.8,0.2,3.1,0.11,27.079471,27.083751,27.459273,90,90,119.994772,3.443247,728.717512,-196.24215,-756.340976
10,3.8,0.2,3.1,0.13,27.292199,27.291874,27.704625,90,90,120.000387,3.360521,1502.73655,-214.247746,-760.301365
11,3.8,0.2,3.1,0.15,27.383206,27.381733,27.861167,90,90,120.001781,3.319651,1214.866068,-214.561707,-754.594314
12,3.8,0.2,3.1,0.17,27.513998,27.513151,28.056898,90,90,120.001016,3.265125,1502.648522,-202.066518,-753.242757
13,3.8,0.2,3.2,0.07,27.09076,27.093714,27.398489,90,90,119.996385,3.448236,708.870259,-179.173705,-762.757879
14,3.8,0.2,3.2,0.09,27.354151,27.349869,27.75945,90,90,120.005181,3.339354,1127.146647,-204.85454,-741.268784
15,3.8,0.2,3.2,0.11,27.540865,27.535135,28.044065,90,90,120.006879,3.26102,1509.833067,-200.795591,-750.650189
16,3.8,0.2,3.2,0.13,27.632985,27.637073,28.207186,90,90,119.995108,3.219053,1378.5281,-218.135661,-741.759089
17,3.8,0.2,3.2,0.15,27.71572,27.719024,28.347719,90,90,119.996062,3.184122,1522.554373,-220.140487,-735.495233
18,3.8,0.2,3.2,0.17,27.788121,27.78728,28.467272,90,90,120.001003,3.154877,1529.282902,-220.436321,-736.919255
19,3.8,0.2,3.3,0.07,27.533042,27.534534,27.992085,90,90,119.998204,3.267789,1483.971409,-194.448956,-740.306313
20,3.8,0.2,3.3,0.09,27.68467,27.68443,28.24616,90,90,120.000294,3.203288,1484.121887,-261.609471,-741.319316
21,3.8,0.2,3.3,0.11,27.797284,27.79795,28.449208,90,90,119.999191,3.154571,1496.820965,-286.223373,-730.127067
22,3.8,0.2,3.3,0.13,27.892211,27.89685,28.616823,90,90,119.994504,3.114193,1508.955642,-237.896156,-734.100632
23,3.8,0.2,3.3,0.15,27.978004,27.975713,28.758549,90,90,120.002714,3.080889,1501.664039,-259.40295,-731.679624
24,3.8,0.2,3.3,0.17,28.053218,28.052269,28.887413,90,90,120.001113,3.050525,1509.325717,-239.044975,-714.299715
25,3.8,0.2,3.4,0.07,27.789336,27.791164,28.39011,90,90,119.997829,3.16277,1469.489151,-270.173497,-737.145293
26,3.8,0.2,3.4,0.09,27.937162,27.937463,28.647705,90,90,119.999655,3.101477,1474.301391,-275.403605,-725.743643
27,3.8,0.2,3.4,0.11,28.057153,28.059217,28.859348,90,90,119.997566,3.052199,1481.910159,-289.239216,-725.277216
28,3.8,0.2,3.4,0.13,28.156475,28.160158,29.035063,90,90,119.995672,3.012132,1484.332035,-262.587307,-710.830243
29,3.8,0.2,3.4,0.15,28.241239,28.243348,29.188446,90,90,119.997532,2.978567,1478.685916,-310.279954,-716.937383
30,3.8,0.2,3.4,0.17,28.314965,28.316031,29.323622,90,90,119.99875,2.949563,1413.551633,-289.418107,-703.994584
31,3.8,0.2,3.5,0.07,28.043321,28.042293,28.796103,90,90,120.001204,3.06237,1439.146992,-285.800856,-711.065238
